Parametri velivolo: 
Valore della massa:' 1043 
Valore apertura alare: 10.92 
Valore della superficie alare: 16.3 
Valore della corda: 1.49 
Valore del Mach di Drag Rise: 0.6 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo z :0 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo y :0 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo y :0 
Angolo tra l'asse di spinta e l'asse x nel piano x-y DTZ [deg] >0 verso DX : 0 
Angolo tra l'asse di spinta e l'asse x nel piano x-z DTY [deg] >0 verso l'alto : 0 
Numero di incidenze per cui sono disponibili i dati: 126 
Rotary derivatives (se è 1--> presenti): 0 
Valore del CG:
Valore di JX: 1272.5 
Valore di JY: 1806.7 
Valore di JZ: 2640.3 
Valore di JXZ: 0 
Opzione posizione baricentro: 0 
Nuova posizione baricentro: 0.25 
Posizione pilota lungo X (rispetto al CG): 0 
Posizione pilota lungo Y (rispetto al CG): 0 
Posizione pilota lungo Z (rispetto al CG): 0 

Parametri Deflection Limits: 
Deflessione MAX elevator: 20 
Deflessione MIN elevator: -20 
Deflessione Ailerons: 20 
Deflessione Rudder: 20 
Deflessione Flap MIN: 40 
Deflessione FLAP MAX: 0 

Parametri Massa Combustibile: 
Opzione massa (0-->costante, 1-->variabile): 1 
Frazione peso di combustibile (MTOW): 0.05 

Steady State Coefficients: 
alfa 	 CX 	 CY 	 CZ 	 Cl 	 Cm 	 Cn 	 
 9.4 	 0.0655087 	 0 	 -0.879916 	 0 	 -0.18583 	 0 	
 9.6 	 0.0695751 	 0 	 -0.895132 	 0 	 -0.188889 	 0 	
 9.8 	 0.0737073 	 0 	 -0.910338 	 0 	 -0.191946 	 0 	
 10 	 0.0779007 	 0 	 -0.925534 	 0 	 -0.195 	 0 	
 10.2 	 0.0821554 	 0 	 -0.940719 	 0 	 -0.198052 	 0 	
 10.4 	 0.0864715 	 0 	 -0.955894 	 0 	 -0.201101 	 0 	
 10.6 	 0.0908488 	 0 	 -0.971059 	 0 	 -0.204148 	 0 	
 10.8 	 0.0953118 	 0 	 -0.986209 	 0 	 -0.207193 	 0 	
 11 	 0.0998993 	 0 	 -1.00134 	 0 	 -0.210235 	 0 	
 11.2 	 0.104612 	 0 	 -1.01644 	 0 	 -0.213276 	 0 	
 11.4 	 0.109449 	 0 	 -1.03152 	 0 	 -0.216313 	 0 	
 11.6 	 0.114411 	 0 	 -1.04657 	 0 	 -0.219349 	 0 	
 11.8 	 0.119474 	 0 	 -1.06161 	 0 	 -0.222381 	 0 	
 12 	 0.124566 	 0 	 -1.07663 	 0 	 -0.225412 	 0 	
 12.2 	 0.129679 	 0 	 -1.09164 	 0 	 -0.22844 	 0 	
 12.4 	 0.134816 	 0 	 -1.10664 	 0 	 -0.231466 	 0 	
 12.6 	 0.139974 	 0 	 -1.12164 	 0 	 -0.23449 	 0 	
 12.8 	 0.14521 	 0 	 -1.13662 	 0 	 -0.237511 	 0 	
 13 	 0.150914 	 0 	 -1.15157 	 0 	 -0.24053 	 0 	
 13.2 	 0.157162 	 0 	 -1.16646 	 0 	 -0.243546 	 0 	
 13.4 	 0.163954 	 0 	 -1.1813 	 0 	 -0.24656 	 0 	
 13.6 	 0.17129 	 0 	 -1.19607 	 0 	 -0.249572 	 0 	
 13.8 	 0.179133 	 0 	 -1.21074 	 0 	 -0.252585 	 0 	
 14 	 0.186706 	 0 	 -1.2242 	 0 	 -0.255685 	 0 	
 14.2 	 0.193675 	 0 	 -1.23601 	 0 	 -0.258906 	 0 	
 14.4 	 0.200025 	 0 	 -1.24619 	 0 	 -0.262248 	 0 	
 14.6 	 0.205738 	 0 	 -1.25473 	 0 	 -0.265711 	 0 	
 14.8 	 0.210797 	 0 	 -1.26166 	 0 	 -0.269295 	 0 	
 15 	 0.215377 	 0 	 -1.26744 	 0 	 -0.273 	 0 	
 15.2 	 0.219631 	 0 	 -1.2725 	 0 	 -0.276826 	 0 	
 15.4 	 0.223552 	 0 	 -1.27683 	 0 	 -0.280774 	 0 	
 15.6 	 0.227131 	 0 	 -1.28044 	 0 	 -0.284843 	 0 	
 15.8 	 0.230361 	 0 	 -1.28333 	 0 	 -0.289032 	 0 	
 16 	 0.233365 	 0 	 -1.28547 	 0 	 -0.293343 	 0 	
 16.2 	 0.236374 	 0 	 -1.28681 	 0 	 -0.297776 	 0 	
 16.4 	 0.239386 	 0 	 -1.28735 	 0 	 -0.302329 	 0 	
 16.6 	 0.242391 	 0 	 -1.28708 	 0 	 -0.307003 	 0 	
 16.8 	 0.245383 	 0 	 -1.28601 	 0 	 -0.311799 	 0 	
 17 	 0.248113 	 0 	 -1.28354 	 0 	 -0.316715 	 0 	
 17.2 	 0.249666 	 0 	 -1.27749 	 0 	 -0.321753 	 0 	
 17.4 	 0.249918 	 0 	 -1.26765 	 0 	 -0.326912 	 0 	
 17.6 	 0.248827 	 0 	 -1.25403 	 0 	 -0.332192 	 0 	
 17.8 	 0.246356 	 0 	 -1.23665 	 0 	 -0.337593 	 0 	
 18 	 0.242188 	 0 	 -1.21461 	 0 	 -0.343115 	 0 	
 18.2 	 0.233886 	 0 	 -1.18002 	 0 	 -0.348759 	 0 	
 18.4 	 0.220765 	 0 	 -1.13114 	 0 	 -0.354523 	 0 	
 18.6 	 0.202676 	 0 	 -1.068 	 0 	 -0.360409 	 0 	
 18.8 	 0.179468 	 0 	 -0.990662 	 0 	 -0.366416 	 0 	
 19 	 0.151184 	 0 	 -0.899802 	 0 	 -0.372543 	 0 	
 19.2 	 0.123578 	 0 	 -0.814617 	 0 	 -0.378792 	 0 	
 19.4 	 0.09952 	 0 	 -0.74411 	 0 	 -0.385163 	 0 	
 19.6 	 0.0791635 	 0 	 -0.688241 	 0 	 -0.391654 	 0 	
 19.8 	 0.0626605 	 0 	 -0.646968 	 0 	 -0.398266 	 0 	
 20 	 0.0501628 	 0 	 -0.620249 	 0 	 -0.405 	 0 	
X Force Derivatives 
